No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Secret Card,OR1(秘)/OR2,クリス＝タブラ＝ラーサ,Crys = Tabula = Rasa,Colourless,DM23-EX3,https://duelmasters.fandom.com/wiki/Crys_%3D_Tabula_%3D_Rasa,980,8.53,0
2,Secret Card,OR2(秘)/OR2,アビスベル=覇統=ジャシン帝,Abyssbell = Deathbell = Jashin Emperor,Darkness/Nature,DM23-EX3,https://duelmasters.fandom.com/wiki/Abyssbell_%3D_Deathbell_%3D_Jashin_Emperor,420,3.65,0
3,Over Rare,OR1/OR2,クリス＝タブラ＝ラーサ,Crys = Tabula = Rasa,Colourless,DM23-EX3,https://duelmasters.fandom.com/wiki/Crys_%3D_Tabula_%3D_Rasa,180,1.57,0
4,Over Rare,OR2/OR2,アビスベル=覇統=ジャシン帝,Abyssbell = Deathbell = Jashin Emperor,Darkness/Nature,DM23-EX3,https://duelmasters.fandom.com/wiki/Abyssbell_%3D_Deathbell_%3D_Jashin_Emperor,180,1.57,0
5,Super Rare,S1/S10,「無上」の頂天シャングリラ・ファンタジア,"Shangri-La Fantasia, Heavenly Zenith of ""Excellence""",Colourless,DM23-EX3,"https://duelmasters.fandom.com/wiki/Shangri-La_Fantasia,_Heavenly_Zenith_of_%22Excellence%22",500,4.35,0
6,Super Rare,S2/S10,天頂と停滞と水晶の決断,Perfect Zenith,Colourless,DM23-EX3,https://duelmasters.fandom.com/wiki/Perfect_Zenith,500,4.35,0
7,Super Rare,S3/S10,「俺獅」の頂天ライオネル,"Lionel, Heavenly Zenith of ""Onore""",Light,DM23-EX3,"https://duelmasters.fandom.com/wiki/Lionel,_Heavenly_Zenith_of_%22Onore%22",180,1.57,0
8,Super Rare,S4/S10,「狡智」の頂天レディオ・ローゼス,"Radio Roses, Heavenly Zenith of ""Cunning Wisdom""",Water,DM23-EX3,"https://duelmasters.fandom.com/wiki/Radio_Roses,_Heavenly_Zenith_of_%22Cunning_Wisdom%22",220,1.91,0
9,Super Rare,S5/S10,「呪怨」の頂天サスペンス,"Suspense, Heavenly Zenith of ""Curse Resentment""",Darkness,DM23-EX3,"https://duelmasters.fandom.com/wiki/Suspense,_Heavenly_Zenith_of_%22Curse_Resentment%22",500,4.35,0
10,Super Rare,S6/S10,「使命」の頂天グレイテスト・グレート,"Greatest Great, Heavenly Zenith of ""Mission""",Fire,DM23-EX3,"https://duelmasters.fandom.com/wiki/Greatest_Great,_Heavenly_Zenith_of_%22Mission%22",320,2.78,0
11,Super Rare,S7/S10,偽りの希望鬼丸「終斗」,"Codemiracle Onimaru ""Period""",Fire,DM23-EX3,https://duelmasters.fandom.com/wiki/Codemiracle_Onimaru_%22Period%22,1980,17.23,0
12,Super Rare,S8/S10,「戦鬼」の頂天ベートーベン,"Beethoven, Heavenly Zenith of ""Senki""",Nature,DM23-EX3,"https://duelmasters.fandom.com/wiki/Beethoven,_Heavenly_Zenith_of_%22Senki%22",420,3.65,0
13,Super Rare,S9/S10,水晶の王ゴスペル,Codecrystal Gospel,Light/Water,DM23-EX3,https://duelmasters.fandom.com/wiki/Codecrystal_Gospel,980,8.53,0
14,Super Rare,S10/S10,邪騎スベルニル,"Svernir, Wicked Horse / ""My Beloved Horse!!""",Nature,DM23-EX3,"https://duelmasters.fandom.com/wiki/Svernir,_Wicked_Horse_/_%22My_Beloved_Horse!!%22",220,1.91,0
15,Very Rare,1/74,麒麟のコード シューゲイザー,"Shoegazer, Code of Qilin",Colourless,DM23-EX3,"https://duelmasters.fandom.com/wiki/Shoegazer,_Code_of_Qilin",120,1.04,0
16,Very Rare,2/74,黙示録の水晶,Crys = Ragna = Calypse,Colourless,DM23-EX3,https://duelmasters.fandom.com/wiki/Crys_%3D_Ragna_%3D_Calypse,980,8.53,0
17,Very Rare,3/74,偽りの名パピロニア,Codename Papilonia,Light,DM23-EX3,https://duelmasters.fandom.com/wiki/Codename_Papilonia,120,1.04,0
18,Very Rare,4/74,水晶の祈り,Crystal Tune / Crystal Doom,Water,DM23-EX3,https://duelmasters.fandom.com/wiki/Crystal_Tune_/_Crystal_Doom,220,1.91,0
19,Very Rare,5/74,偽りの名リベルラ,Codename Libelula,Water,DM23-EX3,https://duelmasters.fandom.com/wiki/Codename_Libelula,120,1.04,0
20,Very Rare,6/74,偽りの名スコーピオ,Codename Scorpio,Darkness,DM23-EX3,https://duelmasters.fandom.com/wiki/Codename_Scorpio,120,1.04,0
21,Very Rare,7/74,偽りの名スカラベオ,Codename Scarabeo,Fire,DM23-EX3,https://duelmasters.fandom.com/wiki/Codename_Scarabeo,120,1.04,0
