No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Over Rare,OR1/OR2,富轟皇ゴルギーニ・エン・ゲルス,"Gorghini En Gels, Wealth Roar Emperor",Light/Darkness,DM23-RP4,"https://duelmasters.fandom.com/wiki/Gorghini_En_Gels,_Wealth_Roar_Emperor",180,1.57,0
2,Over Rare,OR2/OR2,竜皇神ボルシャック・バクテラス,"Bolshack Bakuterasu, Dragon Emperor God",Light/Fire,DM23-RP4,"https://duelmasters.fandom.com/wiki/Bolshack_Bakuterasu,_Dragon_Emperor_God",420,3.65,0
3,Super Rare,S1/S8,四番鯨リビングハザードParSum.,"Living Hazard ParSum, Fourth Whale",Water,DM23-RP4,"https://duelmasters.fandom.com/wiki/Living_Hazard_ParSum,_Fourth_Whale",180,1.57,0
4,Super Rare,S2/S8,DARK MATERIALCOMPLEX,DARK MATERIAL COMPLEX,Darkness,DM23-RP4,https://duelmasters.fandom.com/wiki/DARK_MATERIAL_COMPLEX,1780,15.49,0
5,Super Rare,S3/S8,サケビ・ポエムシャウター,"Sakebi Poemshouter / ♪ Eternally, My Song, Will Not Stop",Fire,DM23-RP4,"https://duelmasters.fandom.com/wiki/Sakebi_Poemshouter_/_%E2%99%AA_Eternally,_My_Song,_Will_Not_Stop",180,1.57,0
6,Super Rare,S4/S8,ア:ニーオ:マクア,A:Nio:Makua,Nature,DM23-RP4,https://duelmasters.fandom.com/wiki/A:Nio:Makua,180,1.57,0
7,Super Rare,S5/S8,ボルシャック・ヴォルジャアク,Bolshack Voljaak,Light/Fire,DM23-RP4,https://duelmasters.fandom.com/wiki/Bolshack_Voljaak,980,8.53,0
8,Super Rare,S6/S8,芸魔龍馬バルバトチェス,"Barbatochess, Geima Dragon Horse",Water/Fire,DM23-RP4,"https://duelmasters.fandom.com/wiki/Barbatochess,_Geima_Dragon_Horse",180,1.57,0
9,Super Rare,S7/S8,超重竜ゴルファンタジスタ,Blackhole In One Golfantasista,Water/Nature,DM23-RP4,https://duelmasters.fandom.com/wiki/Blackhole_In_One_Golfantasista,420,3.65,0
10,Super Rare,S8/S8,シス=魔=シャル,Sith = Mar = Shall,Darkness/Nature,DM23-RP4,https://duelmasters.fandom.com/wiki/Sith_%3D_Mar_%3D_Shall,180,1.57,0
11,Very Rare,1/74,翼速ザ・ウイング,"The Wing, Wing Speed",Light,DM23-RP4,"https://duelmasters.fandom.com/wiki/The_Wing,_Wing_Speed",120,1.04,0
