No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G1a/超G12,勝利のガイアール・カイザー,"Gaial Kaiser, the Victorious",Darkness/Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Gaial_Kaiser,_the_Victorious",1280,11.14,0
2,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G1b/超G12,唯我独尊ガイアール・オレドラゴン,"Gaial Ore Dragon, the Vainglory",Light/Water/Darkness/Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Gaial_Ore_Dragon,_the_Vainglory",1280,11.14,0
3,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G2/超G12,ボルシャック・ドギラゴン,Bolshack Dogiragon,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Bolshack_Dogiragon,1280,11.14,0
4,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G3/超G12,“轟轟轟”ブランド,Gogogo Brand,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Gogogo_Brand,1780,15.49,0
5,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G4/超G12,マーシャル・クロウラー,Marshall Crawler,Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Marshall_Crawler,3480,30.28,0
6,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G5/超G12,BAKUOOON・ミッツァイル,BAKUOOON Mizzail,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/BAKUOOON_Mizzail,780,6.79,0
7,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G6/超G12,メガ・マナロック・ドラゴン,Mega Manalock Dragon,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Mega_Manalock_Dragon,2480,21.58,0
8,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G7/超G12,ガル・ラガンザーク,Gar Raganzark,Water/Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Gar_Raganzark,4980,43.33,0
9,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G8/超G12,無双恐皇ガラムタ,"Galamuta, Matchless Fear Lord",Darkness/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Galamuta,_Matchless_Fear_Lord",4980,43.33,0
10,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G9/超G12,魔導管理室カリヤドネ,"Kariyadone, Magic Library / Hermit Circle",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Kariyadone,_Magic_Library_/_Hermit_Circle",1480,12.88,0
11,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G10/超G12,インフェル星樹,Infelstarge,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Infelstarge,4980,43.33,0
12,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G11/超G12,奇石ミクセル,"Mixel, Strange Stone / Jamming Chaff",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Mixel,_Strange_Stone_/_Jamming_Chaff",1280,11.14,0
13,(Cards marked with a ☆ are exclusive to DM23-EX2.),超G12/超G12,ドラゴンズ・サイン,Dragon's Sign,Light,DM23-EX2,https://duelmasters.fandom.com/wiki/Dragon%27s_Sign,3480,30.28,0
14,(Cards marked with a ☆ are exclusive to DM23-EX2.),超1a/超38,禁断～封印されしx～,Forbidden ~The Sealed X~,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Forbidden_~The_Sealed_X~,580,5.05,0
15,(Cards marked with a ☆ are exclusive to DM23-EX2.),超1b/超38,伝説の禁断ドキンダムx,"Dokindam X, The Legendary Forbidden",Fire,DM23-EX2,"https://duelmasters.fandom.com/wiki/Dokindam_X,_The_Legendary_Forbidden",580,5.05,0
16,(Cards marked with a ☆ are exclusive to DM23-EX2.),超2/超38,水上第九院シャコガイル,"Shakogairu, Water Academy No. 9",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Shakogairu,_Water_Academy_No._9",980,8.53,0
17,(Cards marked with a ☆ are exclusive to DM23-EX2.),超3/超38,龍頭星雲人,Dragon Head Nebula Man / Zero Birthday,Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Dragon_Head_Nebula_Man_/_Zero_Birthday,220,1.91,0
18,(Cards marked with a ☆ are exclusive to DM23-EX2.),超4/超38,超神羅星アポロヌス・ドラゲリオン,Super Enlightened Nova Apollonus Dragerion,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Super_Enlightened_Nova_Apollonus_Dragerion,220,1.91,0
19,(Cards marked with a ☆ are exclusive to DM23-EX2.),超5/超38,十番龍オービーメイカーPar100,"Orbimaker Par 100, Tenth Dragon",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Orbimaker_Par_100,_Tenth_Dragon",420,3.65,0
20,(Cards marked with a ☆ are exclusive to DM23-EX2.),超6/超38,仙界一の天才ミロク,"Miroku, Senkai's Greatest Genius",Light/Fire,DM23-EX2,"https://duelmasters.fandom.com/wiki/Miroku,_Senkai%27s_Greatest_Genius",180,1.57,0
21,(Cards marked with a ☆ are exclusive to DM23-EX2.),超7/超38,龍素記号wDサイクルペディア,"WD Cyclepedia, Dragment Symbol",Water/Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/WD_Cyclepedia,_Dragment_Symbol",980,8.53,0
22,(Cards marked with a ☆ are exclusive to DM23-EX2.),超8/超38,音卿の精霊龍ラフルル・ラブ,"Rafululu Love, Acoustic Dragon Elemental / 「It's coming from the future, so it's a Miracle」",Light/Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Rafululu_Love,_Acoustic_Dragon_Elemental_/_%E3%80%8CIt%27s_coming_from_the_future,_so_it%27s_a_Miracle%E3%80%8D",980,8.53,0
23,(Cards marked with a ☆ are exclusive to DM23-EX2.),超9/超38,機術士ディール,"Deal, Mechanic / 「Today's Lucky Number!」",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Deal,_Mechanic_/_%E3%80%8CToday%27s_Lucky_Number!%E3%80%8D",220,1.91,0
24,(Cards marked with a ☆ are exclusive to DM23-EX2.),超10/超38,水晶の記録ゼノシャーク,"Xenoshark, Crystal Record / Crystal Memory",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Xenoshark,_Crystal_Record_/_Crystal_Memory",220,1.91,0
25,(Cards marked with a ☆ are exclusive to DM23-EX2.),超11/超38,神の試練,Trial of God,Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Trial_of_God,120,1.04,0
