No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Dream Rare,DM1/DM1,蒼き王道ドギラゴン超,"Dogiragon Hyper, Blue Royal Road",Fire/Nature,DM24-RP1,"https://duelmasters.fandom.com/wiki/Dogiragon_Hyper,_Blue_Royal_Road",1480,12.88,0
2,Over Rare,OR1/OR2,光喜の夜エルボロム,"Elbollom, Night of Joyful Light",Light,DM24-RP1,"https://duelmasters.fandom.com/wiki/Elbollom,_Night_of_Joyful_Light",180,1.57,0
3,Over Rare,OR2/OR2,邪魂の王道ジャシン帝,"Jashin Emperor, Abyss King",Darkness,DM24-RP1,"https://duelmasters.fandom.com/wiki/Jashin_Emperor,_Abyss_King",180,1.57,0
4,Super Rare,S1/S10,獲銀月ペトローバ,"Petrova, Capturing Silver Moon",Light,DM24-RP1,"https://duelmasters.fandom.com/wiki/Petrova,_Capturing_Silver_Moon",680,5.92,0
5,Super Rare,S2/S10,ウィリデ・ゴル・ゲルス,Viride Gor Gels,Light,DM24-RP1,https://duelmasters.fandom.com/wiki/Viride_Gor_Gels,500,4.35,0
6,Super Rare,S3/S10,楽識の夜フミビロム,"Fumibillom, Night of Enjoyable Knowledge",Water,DM24-RP1,"https://duelmasters.fandom.com/wiki/Fumibillom,_Night_of_Enjoyable_Knowledge",180,1.57,0
7,Super Rare,S4/S10,seiWond'Ramar,seiWond’Ramar,Water,DM24-RP1,https://duelmasters.fandom.com/wiki/SeiWond%E2%80%99Ramar,180,1.57,0
8,Super Rare,S5/S10,超霊淵ヤバーダン＝ロウ,"Yabadan = Low, Hyper Soul Abyss",Darkness,DM24-RP1,"https://duelmasters.fandom.com/wiki/Yabadan_%3D_Low,_Hyper_Soul_Abyss",420,3.65,0
9,Super Rare,S6/S10,深淵の憤髄ファウン=テイン,"Foun = Tain, Abyssal Wrath",Darkness,DM24-RP1,"https://duelmasters.fandom.com/wiki/Foun_%3D_Tain,_Abyssal_Wrath",320,2.78,0
10,Super Rare,S7/S10,炎怒の夜アゲブロム,"Agebullom, Night of Flaming Anger",Fire,DM24-RP1,"https://duelmasters.fandom.com/wiki/Agebullom,_Night_of_Flaming_Anger",320,2.78,0
11,Super Rare,S8/S10,グラディアン・バレット・ドラゴン,Gradian Bullet Dragon,Fire,DM24-RP1,https://duelmasters.fandom.com/wiki/Gradian_Bullet_Dragon,180,1.57,0
12,Super Rare,S9/S10,哀樹の夜シンベロム,"Shinbellom, Night of Sorrowful Tree",Nature,DM24-RP1,"https://duelmasters.fandom.com/wiki/Shinbellom,_Night_of_Sorrowful_Tree",180,1.57,0
13,Super Rare,S10/S10,巨進の超人,Jinaburi Giant,Nature,DM24-RP1,https://duelmasters.fandom.com/wiki/Jinaburi_Giant,180,1.57,0
14,Very Rare,1/75,回帰の守護者タテフ・エール,"Tatef Elle, Regression Guardian",Light,DM24-RP1,"https://duelmasters.fandom.com/wiki/Tatef_Elle,_Regression_Guardian",120,1.04,0
15,Very Rare,2/75,深淵の諦園ガーデン＝ガーチー,"Garden = Garchy, Abyss True Garden",Darkness,DM24-RP1,"https://duelmasters.fandom.com/wiki/Garden_%3D_Garchy,_Abyss_True_Garden",120,1.04,0
16,Very Rare,3/75,轟神ボボボロック,Explosive God Bobobrock,Fire,DM24-RP1,https://duelmasters.fandom.com/wiki/Explosive_God_Bobobrock,180,1.57,0
17,Very Rare,4/75,範丸の超人,Olympia Giant,Nature,DM24-RP1,https://duelmasters.fandom.com/wiki/Olympia_Giant,120,1.04,0
18,Very Rare,5/75,光喜神官ジョナス,"Jonas, Joyful Light Priest",Light/Darkness,DM24-RP1,"https://duelmasters.fandom.com/wiki/Jonas,_Joyful_Light_Priest",120,1.04,0
19,Very Rare,6/75,炎怒神官アンゲロス,"Angelos, Flaming Anger Priest",Light/Fire,DM24-RP1,"https://duelmasters.fandom.com/wiki/Angelos,_Flaming_Anger_Priest",120,1.04,0
20,Very Rare,7/75,百威と族絆の決断,Perfect Freestyle,Light/Nature,DM24-RP1,https://duelmasters.fandom.com/wiki/Perfect_Freestyle,320,2.78,0
